match_name	direction
atp1a2a	up
pcdh20	up
sh2d5	up
mcf2a	up
egr3	up
gdnfa	up
ndrg1a	up
foxd2	up
specc1	up
cpm	up
arl13a	up
scn4ab	up
gprc5c	up
klc3	up
epha7	up
six2a	up
slc8a3	up
dusp2	up
trib3	up
foxj3	up
ache	up
prrg4	up
megf10	up
mbnl3	up
ankrd28b	up
lbx2	up
agt	up
susd5	up
erbb3a	up
fgf2	up
lurap1	up
helt	up
rnf24	up
wbp1lb	up
raf1a	up
mef2cb	up
chad	up
egr2b	up
tnnt2e	down
myoz2b	down
hspb7	down
lrrc14b	down
smyd1b	down
tpm3	down
mybpc1	down
best2	down
rpl3	down
myl10	down
osbpl1a	down
kbtbd12	down
tnnc1b	down
myom3	down
smpx	down
tnnt1	down
prx	down
rnf207b	down
dnajb5	down
abrab	down
asb10	down
ntn5	down
casq1b	down
trdn	down
hspb1	down
agtpbp1	down
thbs4b	down
palld	down
il11a	down
kcnj11	down
cidec	down
postnb	down
pdlim5b	down
dlx3b	down
