seq_ID	annotation	annotation_type	SM	EO
Ev-comp1000707_c0_seq1		blast	4.9	2.1
Ev-comp1000966_c0_seq1		blast	2.4	3.3
Ev-comp1001483_c0_seq1		blast	24.3	7.4
Ev-comp100210_c0_seq1		blast	419.7	258.4
Ev-comp100255_c0_seq1	ccbe1	blast	58.2	77.1
Ev-comp100264_c0_seq1		blast	12.1	34.6
Ev-comp1003173_c0_seq1		blast	0.0	16.9
Ev-comp1004457_c0_seq1		blast	2.4	9.1
Ev-comp1004730_c0_seq1		blast	0.0	2.9
Ev-comp100497_c0_seq1		blast	36.4	60.2
Ev-comp1005519_c0_seq1		blast	0.0	3.3
Ev-comp1005990_c0_seq1	MTTP	blast	9.7	2.1
Ev-comp1007786_c0_seq1		blast	2.4	7.8
Ev-comp1008390_c0_seq1		blast	2.4	7.4
Ev-comp1008412_c0_seq1		blast	0.0	5.4
Ev-comp100851_c0_seq1		blast	14.6	13.6
Ev-comp1009402_c0_seq1	cacna2d2	blast	2.4	3.7
Ev-comp1011229_c0_seq1		blast	4.9	4.9
Ev-comp1012007_c0_seq1		blast	0.0	3.7
Ev-comp1012872_c0_seq1		blast	2.4	5.4
Ev-comp1013159_c0_seq1		blast	0.0	2.5
Ev-comp101334_c0_seq1		blast	87.3	40.0
Ev-comp101338_c0_seq1		blast	12.1	32.2
Ev-comp101389_c0_seq1		blast	19.4	0.0
Ev-comp1014182_c0_seq1		blast	12.1	6.2
Ev-comp1014369_c0_seq1	nek2	blast	7.3	5.8
Ev-comp101446_c0_seq2		blast	46.1	128.6
Ev-comp1014840_c0_seq1		blast	2.4	10.3
Ev-comp101503_c0_seq1	tagln3b	blast	0.0	53.6
Ev-comp1015286_c0_seq1		blast	2.4	5.4
Ev-comp101530_c0_seq1	UTRN	blast	36.4	66.8
Ev-comp101582_c0_seq1		blast	196.5	136.0
Ev-comp101658_c0_seq1	tnfrsf21	blast	7.3	51.9
Ev-comp101726_c0_seq1		blast	0.0	2.1
Ev-comp1018243_c0_seq1	apod	blast	0.0	2.9
Ev-comp1018733_c0_seq1		blast	0.0	0.0
Ev-comp1018733_c0_seq2		blast	2.4	18.5
Ev-comp101885_c0_seq1		blast	77.6	39.2
Ev-comp1020835_c0_seq1		blast	21.8	14.0
Ev-comp102163_c0_seq1		blast	75.2	48.6
Ev-comp1021776_c0_seq1		blast	7.3	3.7
Ev-comp1022408_c0_seq1		blast	0.0	4.9
Ev-comp1022574_c0_seq1		blast	4.9	6.6
Ev-comp1023124_c0_seq1		blast	17.0	38.3
Ev-comp1024571_c0_seq1		blast	2.4	3.3
Ev-comp102487_c0_seq1	st6galnac3	blast	75.2	37.1
Ev-comp102531_c0_seq1	spry4	blast	138.3	173.5
Ev-comp1026408_c0_seq1		blast	7.3	6.2
Ev-comp1026455_c0_seq1		blast	4.9	14.0
Ev-comp1027316_c0_seq1		blast	0.0	3.3
Ev-comp102762_c0_seq1	MRPS28	blast	111.6	0.4
Ev-comp1027925_c0_seq1		blast	4.9	4.9
Ev-comp1031395_c0_seq1	zgc:153345	blast	0.0	6.2
Ev-comp1031675_c0_seq1		blast	0.0	5.4
Ev-comp103219_c0_seq1		blast	0.0	1.2
Ev-comp103288_c0_seq1		blast	60.7	24.7
Ev-comp103372_c0_seq1	zgc:113691	blast	31.5	27.6
Ev-comp10366_c0_seq1	ntng1b	blast	7.3	2.1
Ev-comp1037272_c0_seq1	pax5	blast	4.9	0.8
Ev-comp103761_c0_seq1		blast	4.9	58.5
Ev-comp103917_c0_seq1		blast	0.0	0.4
Ev-comp103966_c0_seq2	pag1	blast	9.7	19.8
Ev-comp1039798_c0_seq1	fam163b	blast	0.0	3.7
Ev-comp104206_c0_seq1		blast	34.0	16.5
Ev-comp1042255_c0_seq1	rtn4rl1b	blast	9.7	7.0
Ev-comp1042773_c0_seq1		blast	4.9	11.5
Ev-comp104383_c0_seq1	hoxb7a	blast	739.9	96.5
Ev-comp1044850_c0_seq1		blast	7.3	4.1
Ev-comp1045233_c0_seq1	rtn4rl2a	blast	0.0	5.4
Ev-comp1045649_c0_seq1		blast	7.3	2.5
Ev-comp104569_c0_seq1		blast	0.0	0.8
Ev-comp1045979_c0_seq1	cubn	blast	4.9	4.5
Ev-comp105078_c0_seq1		blast	0.0	4.1
Ev-comp105558_c0_seq1		blast	194.1	138.1
Ev-comp105594_c0_seq1		blast	87.3	35.4
Ev-comp105853_c0_seq1	rfx6	blast	9.7	70.5
Ev-comp105864_c0_seq2	tmem119a	blast	14.6	14.0
Ev-comp1058717_c0_seq1		blast	4.9	5.4
Ev-comp105956_c0_seq1	zic3	blast	21.8	51.9
Ev-comp1059808_c0_seq1		blast	4.9	7.8
Ev-comp1061547_c0_seq1	prr15la	blast	0.0	3.3
Ev-comp106162_c0_seq1		blast	21.8	43.3
Ev-comp106181_c0_seq1		blast	26.7	51.9
Ev-comp1062643_c0_seq1		blast	0.0	1.2
Ev-comp106368_c0_seq1		blast	31.5	29.7
Ev-comp1063907_c0_seq1	RASAL1 (1 of 2)	blast	17.0	2.1
Ev-comp106446_c0_seq1	PARD3B (1 of 2)	blast	7.3	34.6
Ev-comp106591_c0_seq1	lpar5a	blast	21.8	50.3
