group_ID	annotation	annotation_type	EO	SM
comp101441_c0	rnf25	blast	64.53	105.01
comp101645_c0		blast	84.26	108.76
comp101772_c0		blast	87.46	58.13
comp102035_c0	CDC42SE2	blast	9.6	11.25
comp102270_c0		blast	59.2	41.25
comp102406_c0		blast	83.19	90.01
comp103159_c0		blast	42.13	129.38
comp1033391_c0	slc2a6	blast	4.8	22.5
comp103479_c0		blast	42.66	95.63
comp103858_c0		blast	29.86	46.88
comp104130_c0		blast	13.87	7.5
comp104427_c0		blast	33.6	9.38
comp104434_c0		blast	48.53	18.75
comp104700_c0		blast	73.06	48.75
comp104922_c0	ccdc90b	blast	81.59	93.76
comp104993_c0		blast	10.13	3.75
comp105161_c0	sesn2	blast	162.12	90.01
comp105406_c0	C1S	blast	93.33	337.52
comp105499_c0		blast	41.6	88.13
comp105527_c0		blast	25.06	11.25
comp106494_c0		blast	70.39	0.0
comp106812_c0	f3b	blast	85.33	114.38
comp107296_c0	mettl6	blast	62.4	75.01
comp107942_c0		blast	46.4	26.25
comp108104_c0		blast	33.06	35.63
comp108268_c0		blast	37.33	114.38
comp109574_c0	CCDC167	blast	48.53	45.0
comp110549_c0	si:dkeyp-59a8.3	blast	26.66	90.01
comp111914_c0		blast	42.66	46.88
comp112128_c0		blast	93.33	75.01
comp112437_c0		blast	36.26	16.88
comp112449_c0		blast	35.2	15.0
comp112857_c0		blast	34.13	11.25
comp113542_c0		blast	15.47	46.88
comp113919_c0		blast	21.33	9.38
comp114588_c0		blast	3.73	463.16
comp114856_c0		blast	99.73	50.63
comp115001_c0		blast	10.67	7.5
comp116303_c0		blast	11.2	26.25
comp116473_c0	nxnl2	blast	118.39	71.26
comp116696_c0	fbxo8	blast	42.66	41.25
comp117677_c0		blast	55.46	58.13
comp118634_c0		blast	10.13	15.0
comp118742_c0		blast	12.8	80.63
comp119050_c0	fabp2	blast	30.93	0.0
comp119086_c0	AKR7A3	blast	61.86	78.76
comp120048_c0		blast	16.0	1.88
comp120602_c0	TMEM38B	blast	66.13	24.38
comp122648_c0		blast	6.93	24.38
comp123703_c0		blast	25.06	43.13
comp123879_c0		blast	4.8	279.4
comp125308_c0	si:rp71-40n14.1	blast	16.0	166.89
comp125737_c0		blast	46.93	61.88
