gene_ID	match_ID	match_name	match_class	cluster_ID	exonic length (bp)	brain	spinal	kidney	heart	sk. muscle	main EO	Sachs' EO	Hunter's EO	sk. muscle (first rnd)	main EO (first rnd)	Sachs' EO (first rnd)
scaffold764.g5	ENSDARG00000037487	march1	reciprocal	3.0	1790	98.9	34.7	10.2	1.6	0.0	4.7	5.2	5.6	0.0	0.7	0.0
scaffold21071.g2	ENSDARG00000070487	MARC2	reciprocal	0.0	1756	223.3	281.8	209.2	1135.2	1917.6	1284.7	896.3	1083.6	23.4	2.2	15.8
scaffold3650.g9	ENSDARG00000061738	march2	secondary	0.0	3018	246.7	593.6	834.7	653.6	202.6	226.6	186.4	202.2	10.2	8.2	6.1
scaffold7698.g5	ENSDARG00000070487	MARC2	secondary	0.0	3790	37.1	22.0	119.3	38.9	82.3	112.7	523.1	110.9	3.5	2.1	6.9
scaffold8852.g1	ENSDARG00000061738	march2	reciprocal	0.0	3220	534.9	619.5	462.9	703.2	438.5	638.4	696.6	667.8	11.0	11.3	10.7
scaffold4884.g3	ENSDARG00000062959	MARCH3	reciprocal	0.0	686	12.7	43.3	0.0	38.8	82.1	2.7	6.8	5.9	0.0	0.0	0.0
scaffold20712.g2	ENSDARG00000056439	march4	reciprocal	4.0	2792	4216.2	48.2	2.9	0.0	0.0	0.3	0.3	0.4	0.3	0.0	0.0
scaffold3418.g2	ENSDARG00000032552	march5	reciprocal	0.0	3273	1167.1	1687.8	1248.2	1024.9	1199.1	1273.2	1367.1	1347.6	36.0	60.7	48.4
scaffold12518.g1	ENSDARG00000076066	march6	split_scaff	0.0	469	1035.7	1272.7	393.8	880.1	2011.5	884.9	1076.2	1286.3	24.5	0.0	26.2
scaffold3629.g1	ENSDARG00000076066	march6	split_scaff	0.0	350	1814.1	2055.5	643.1	1489.1	3092.0	1563.2	2220.5	1943.0	21.9	7.4	28.5
scaffold5200.g1	ENSDARG00000076066	march6	reciprocal	0.0	4058	1563.9	2550.6	705.1	1090.5	2376.9	1567.8	1686.2	2043.6	70.1	69.4	70.8
scaffold3108.g4	ENSDARG00000096271	march7	secondary	3.0	5240	404.6	1.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
scaffold351.g1	ENSDARG00000057772	march7	reciprocal	0.0	3314	748.9	836.1	904.5	1621.1	51072.1	1401.9	1831.1	2166.4	358.3	86.2	160.5
scaffold351.g2	ENSDARG00000096271	march7	reciprocal	3.0	3990	2154.4	3200.6	68.8	240.0	166.9	71.6	88.4	100.5	5.5	5.2	2.5
scaffold6383.g6	ENSDARG00000062489	march8	synteny	0.0	1604	424.0	241.3	1651.1	611.9	311.0	772.2	1047.0	782.4	17.3	20.2	13.9
scaffold8294.g9	ENSDARG00000055740	MARCH9	reciprocal	3.0	2614	252.6	97.7	0.0	1.1	0.8	0.0	0.7	0.4	0.0	0.0	0.0
scaffold10064.g2	ENSDARG00000027590	sept2	reciprocal	0.0	2859	2217.5	2798.2	5678.6	4726.6	1698.4	1474.0	1860.1	1711.0	29.5	27.2	27.1
scaffold9817.g6	ENSDARG00000030656	sept3	reciprocal	0.0	5605	804.7	129.2	176.6	80.6	50.6	525.2	159.8	166.4	35.4	22.0	17.7
scaffold3826.g6	ENSDARG00000010721	sept6	reciprocal	0.0	5948	638.9	484.0	1723.0	628.4	589.5	346.2	460.2	466.3	12.7	4.8	6.2
scaffold21959.g1	ENSDARG00000019191	SEPT12	reciprocal	0.0	1492	117.0	211.5	60.2	522.7	159.1	171.4	167.0	343.4	5.8	2.6	5.7
scaffold21959.g2	ENSDARG00000019191	SEPT12	split	12.0	576	932.8	3348.9	676.4	189.9	122.2	81.3	92.3	133.3	11.6	2.3	9.3
scaffold5109.g6	ENSDARG00000019191	SEPT12	split_scaff	0.0	2064	3134.7	11832.0	2553.5	1652.8	685.1	847.0	928.0	876.8	41.3	23.9	21.2
scaffold10893.g7	ENSDARG00000002968	a1cf	reciprocal	11.0	3044	0.0	0.6	488.1	0.3	0.0	0.0	0.3	0.0	0.0	0.0	0.0
scaffold3014.g9	ENSDARG00000019547	aaas	reciprocal	0.0	4263	616.2	744.9	1489.4	800.9	2211.6	888.3	995.8	981.3	31.4	53.3	36.6
scaffold6161.g6	ENSDARG00000012468	aacs	reciprocal	0.0	3000	283.9	594.7	71.0	240.6	148.2	131.8	167.9	194.0	3.8	0.4	1.8
scaffold5534.g3	ENSDARG00000063621	AADACL2	reciprocal	0.0	3703	11.1	86.7	89.9	210.3	623.6	150.0	190.7	234.4	24.3	20.3	19.7
scaffold4207.g2	ENSDARG00000044802	aadacl4	reciprocal	11.0	1811	104.3	195.8	3230.7	2.6	7.8	24.3	24.7	33.5	1.6	15.1	17.0
scaffold403.g8	ENSDARG00000011410	AADAT	reciprocal	0.0	1920	297.6	254.8	236.5	651.4	753.3	417.2	423.7	437.3	28.4	31.8	32.0
scaffold4531.g3	ENSDARG00000075299	AAED1	reciprocal	0.0	1584	68.1	103.1	67.5	190.3	243.8	107.1	148.4	123.8	4.2	8.2	7.3
scaffold4153.g3	ENSDARG00000041170	aagab	reciprocal	0.0	1675	842.5	1297.9	1033.4	557.6	763.8	953.7	843.3	515.8	64.6	29.5	50.5
scaffold2405.g4	ENSDARG00000011855	AAK1 (1 of 2)	secondary	0.0	3478	891.3	568.0	197.3	225.0	389.2	154.6	230.7	249.3	9.1	2.2	6.2
scaffold425.g1	ENSDARG00000011855	AAK1 (1 of 2)	reciprocal	0.0	7799	680.5	351.1	53.2	168.3	1612.0	127.8	183.2	259.1	14.0	1.5	3.6
scaffold2405.g3	ENSDARG00000077686	AAK1 (2 of 2)	reciprocal	0.0	7284	715.2	826.1	132.6	152.9	255.7	115.1	162.2	190.6	7.5	11.4	5.8
scaffold5330.g7	ENSDARG00000028435	AAMDC	reciprocal	0.0	614	1591.2	2598.9	9497.6	3229.5	16734.4	8584.4	5438.4	6085.9	502.2	964.1	545.7
scaffold913.g1	ENSDARG00000045019	aamp	reciprocal	0.0	2249	1251.4	1773.6	870.6	1063.5	1115.3	1715.4	1539.9	1680.4	27.7	44.4	40.3
scaffold1441.g4	ENSDARG00000079802	aanat2	reciprocal	2.0	1918	153.9	30.0	211.5	10.4	5.2	3.9	9.7	5.8	0.0	0.0	0.4
scaffold3223.g3	ENSDARG00000018658	aar2	reciprocal	0.0	1779	778.9	1223.1	1136.3	534.1	1103.6	1332.9	1158.0	1464.3	17.8	27.7	22.0
scaffold14345.g8	ENSDARG00000071240	aars2	secondary	0.0	3929	1707.7	2874.2	560.5	618.0	3807.5	723.5	794.3	931.0	67.3	16.5	27.4
scaffold6423.g7	ENSDARG00000071240	aars2	reciprocal	0.0	3132	264.8	203.0	219.4	298.2	451.5	172.6	252.3	323.0	7.9	7.0	5.2
scaffold10893.g4	ENSDARG00000015747	aarsd1	reciprocal	0.0	2659	332.5	380.5	405.8	280.1	218.6	364.0	224.9	301.4	11.2	10.3	9.5
scaffold2087.g4	ENSDARG00000022730	aasdh	reciprocal	0.0	3745	107.0	88.5	59.6	96.2	116.6	111.3	131.8	139.0	1.8	4.5	2.9
scaffold4789.g3	ENSDARG00000037501	AASDHPPT	reciprocal	0.0	2942	85.5	115.2	562.6	196.5	293.3	231.5	177.6	229.4	10.1	31.8	16.7
scaffold9875.g3	ENSDARG00000051816	aass	reciprocal	0.0	3863	1297.2	1273.4	1971.8	3669.0	2735.9	4817.0	4144.5	4265.8	123.2	187.9	173.5
scaffold3872.g5	ENSDARG00000025467	aatf	reciprocal	0.0	1959	358.1	501.8	402.4	631.6	2813.5	1616.5	1322.1	1148.2	50.3	29.2	33.3
scaffold8771.g10	ENSDARG00000078222	aatka	reciprocal	0.0	4070	1511.3	1972.7	83.3	241.6	466.6	1294.6	1017.1	1487.4	22.4	81.3	53.2
scaffold648.g2	ENSDARG00000077477	aatkb	reciprocal	10.0	5856	497.3	413.7	2.6	70.3	234.3	1045.0	608.8	547.7	14.7	13.3	21.4
scaffold5089.g3	ENSDARG00000006031	abat	reciprocal	0.0	4903	3127.2	1122.7	873.4	4025.3	1554.9	414.6	565.3	582.6	30.3	15.1	18.0
scaffold18179.g3	ENSDARG00000074749	abca12	reciprocal	0.0	17376	22.6	57.6	3.1	3.4	9.3	4.2	2.1	6.6	0.1	0.0	0.0
scaffold26080.g3	ENSDARG00000074635	abca1a	secondary	0.0	8285	140.1	586.2	70.7	121.0	97.6	122.2	178.8	130.0	1.4	0.5	0.7
scaffold3037.g1	ENSDARG00000074635	abca1a	split_scaff	0.0	859	668.0	488.5	320.8	727.4	484.7	1048.1	1072.0	995.2	10.0	3.0	8.1
scaffold4839.g8	ENSDARG00000074635	abca1a	reciprocal	0.0	8099	1732.7	1165.9	1283.8	1798.9	1354.6	3142.3	2567.8	2840.2	46.3	25.6	34.3
scaffold12643.g4	ENSDARG00000079009	abca1b	secondary	0.0	6516	115.1	240.8	131.3	294.4	269.2	325.7	490.3	519.2	4.3	7.4	4.8
scaffold537.g1	ENSDARG00000079009	abca1b	reciprocal	0.0	3589	31.8	8.0	7.0	0.0	6.7	1.3	1.3	0.6	0.0	0.0	0.0
scaffold9546.g18	ENSDARG00000013500	abca2	split	0.0	3805	1143.7	1091.3	458.3	130.7	181.9	601.0	461.2	514.1	12.3	21.2	17.4
scaffold9546.g19	ENSDARG00000013500	abca2	reciprocal	0.0	6189	325.2	333.4	117.6	30.9	47.1	111.6	102.8	145.1	2.0	0.6	3.7
scaffold20052.g8	ENSDARG00000075490	ABCA3	reciprocal	0.0	6361	689.0	564.8	206.1	259.7	114.5	78.9	126.9	130.3	4.1	1.6	3.0
scaffold618.g21	ENSDARG00000062661	ABCA4 (1 of 2)	reciprocal	0.0	10742	60.1	99.6	278.0	404.3	303.4	113.8	158.5	221.7	6.0	0.8	2.8
scaffold18494.g6	ENSDARG00000074041	abca5	reciprocal	0.0	8457	441.6	275.3	71.2	1257.8	122.3	256.2	199.1	238.8	6.1	13.0	7.8
C7915686.g1	ENSDARG00000061591	abcb10	split_scaff	0.0	1211	204.5	122.7	401.7	265.5	343.8	225.1	189.5	220.3	14.2	11.8	5.1
scaffold15908.g6	ENSDARG00000061591	abcb10	secondary	0.0	1556	9.2	22.7	166.7	74.0	89.2	48.2	69.6	59.1	4.3	4.2	1.0
